Продукт,углеводы(г/100г),белки(г/100г),жиры(г/100г),ккал(100г)
Морковь сырая (свежая),9.58 г,0.93 г,0.24 г,38 кКал
Морковь варёная,8.22 г,0.76 г,0.18 г,33 кКал
Морковь консервированная,5.54 г,0.64 г,0.19 г,22 кКал
Морковь замороженная,7.90 г,0.78 г,0.46 г,32 кКал
Брюссельская капуста замороженная,7.86 г,3.78 г,0.41 г,31 кКал
Корень лопуха в сыром виде,17.34 г,1.53 г,0.15 г,69 кКал
Корень лопуха отваренный,21.15 г,2.09 г,0.14 г,85 кКал
Белокопытник в сыром виде,3.61 г,0.39 г,0.04 г,14 кКал
Белокопытник отваренный,2.16 г,0.23 г,0.02 г,9 кКал
Капуста свежая. белокачанная,5.80 г,1.28 г,0.10 г,23 кКал
Капуста красная свежая,7.37 г,1.43 г,0.16 г,29 кКал
Капуста варёная (белокачанная),5.51 г,1.27 г,0.06 г,22 кКал
Капуста савойская свежая,6.10 г,2.00 г,0.10 г,24 кКал
Капуста пекинская свежая,2.18 г,1.50 г,0.20 г,9 кКал
Листья цикория свежие,4.70 г,1.70 г,0.30 г,19 кКал
Корень цикория в сыром виде,17.51 г,1.40 г,0.20 г,70 кКал
Шнитт-лук свежий,4.35 г,3.27 г,0.73 г,17 кКал
Капуста листовая свежая,5.42 г,3.02 г,0.61 г,22 кКал
Капуста листовая приготовленная (отваренная),5.65 г,2.71 г,0.72 г,23 кКал
Кинза (листья кориандра) свежие,3.67 г,2.13 г,0.52 г,15 кКал
Маниок в сыром виде,38.06 г,1.36 г,0.28 г,152 кКал
Цветная капуста свежая,4.97 г,1.92 г,0.28 г,20 кКал
Цветная капуста варёная,4.11 г,1.84 г,0.45 г,16 кКал
Цветная капуста замороженная,4.68 г,2.01 г,0.27 г,19 кКал
Корень сельдерея в сыром виде,9.20 г,1.50 г,0.30 г,37 кКал
Корень сельдерея отваренный,5.90 г,0.96 г,0.19 г,24 кКал
Сельдерей свежий,2.97 г,0.69 г,0.17 г,12 кКал
Мангольд свежий,3.74 г,1.80 г,0.20 г,15 кКал
Чайот в сыром виде,4.51 г,0.82 г,0.13 г,18 кКал
